"Parameter";"Id_Pro_or";"Id_Pro_new";"spi_mean";"spi_se_mean_sd";"spi_sd";"spi_2_5";"spi_25";"spi_50";"spi_75";"spi_97_5";"spi_n_eff";"spi_rhat";"spiper_mean";"spiper_se_mean_sd";"spiper_sd";"spiper_2_5";"spiper_25";"spiper_50";"spiper_75";"spiper_97_5";"spiper_n_eff";"spiper_rhat";"harmonic_mean"
"theta[106]";447;106;0,57;9,0e-03;0,39;-0,20;0,31;0,56;0,83;1,37;1767,56;1,00;0,30;0,01;0,37;-0,42;0,05;0,30;0,57;1,04;1098,26;1,00;"3,149"
"theta[107]";449;107;-1,67;0,01;0,39;-2,44;-1,94;-1,67;-1,40;-0,89;1298,55;0,99;-1,64;0,01;0,38;-2,43;-1,90;-1,64;-1,39;-0,87;716,23;1,00;"2,493"
"theta[108]";450;108;0,72;0,01;0,39;-0,05;0,45;0,72;0,99;1,49;1717,93;1,00;0,60;0,01;0,38;-0,14;0,34;0,60;0,86;1,36;1038,60;1,00;"3,595"
"theta[109]";451;109;-2,79;0,01;0,40;-3,57;-3,07;-2,81;-2,52;-1,98;1216,88;1,00;-2,84;0,01;0,39;-3,63;-3,12;-2,84;-2,57;-2,08;696,17;1,00;"1,98"
"theta[110]";452;110;0,91;8,0e-03;0,32;0,27;0,69;0,91;1,13;1,57;1485,66;1,00;0,74;0,01;0,31;0,12;0,54;0,74;0,95;1,36;992,23;1,00;"3,676"
"theta[111]";454;111;0,20;0,01;0,40;-0,58;-0,05;0,20;0,48;0,99;1395,30;1,00;0,19;0,01;0,39;-0,56;-0,06;0,19;0,45;0,96;801,84;1,00;"3,491"
"theta[112]";455;112;-0,49;0,01;0,47;-1,42;-0,81;-0,50;-0,17;0,42;1527,32;1,00;-0,28;0,01;0,46;-1,17;-0,59;-0,28;0,01;0,64;899,86;1,00;"3,145"
"theta[113]";456;113;-2,94;0,01;0,42;-3,78;-3,23;-2,93;-2,65;-2,12;1478,05;1,00;-2,89;0,01;0,41;-3,69;-3,18;-2,89;-2,62;-2,09;993,39;1,00;"1,834"
"theta[114]";458;114;-0,82;0,01;0,44;-1,71;-1,12;-0,81;-0,52;0,01;1758,63;1,00;-1,08;0,01;0,44;-1,93;-1,38;-1,08;-0,77;-0,21;1137,77;1,00;"3,051"
"theta[115]";465;115;-0,27;0,01;0,40;-1,06;-0,54;-0,27;-2,0e-03;0,53;1332,31;1,00;-0,33;0,01;0,38;-1,10;-0,58;-0,33;-0,07;0,41;1116,16;1,00;"3,358"
