"key_Student";"Student";"Professor";"Subject";"SelfPerf";"C_12";"C_13";"C_14";"C_15";"C_16";"C_17";"C_18";"C_19";"C_20";"C_21";"C_22";"C_23";"C_24";"C_25";"C_26";"C_27";"C_28";"C_29";"C_30";"C_31";"C_32";"C_33";"C_34";"C_35";"C_36_Strength";"c37_Weaknesses";"student_sex";"Id_Fingerprint";"Id_Carrer";"Number_Enrollment";"Number_Repetition";"Number_Lost";"Id_Course";"Group";"Shared";"professor_sex";"Vinculacion";"Fecha_Ingreso";"professor_cat";"professor_dedic";"Professor_Dept"
1029;48;6;14;4;3;3;4;3;3;4;4;2;4;3;3;2;3;4;3;3;4;3;3;4;1;1;4;3;"MOTIVACION ALTA , SENTIDO DE RESPONSABILIDAD ,PROMUEVE EL GUSTO X LA MATERIA";"DOCENTE :NINGUNA , ASIGNATURA: CAMBIO DE DOCENTE";1;1715;39;3;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
1030;49;6;14;4;3;4;2;2;4;4;4;3;4;4;4;2;3;4;4;3;4;3;3;3;1;1;3;3;"";"";1;1715;39;3;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
1031;50;6;14;4;4;4;4;4;3;4;3;3;2;3;1;2;3;3;4;2;3;3;3;3;1;1;4;3;"";"";1;1715;39;3;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
1032;51;6;14;4;4;4;4;4;4;4;2;4;3;4;4;2;4;4;4;2;4;3;4;3;1;1;4;4;"ES BUENA EXPLICANDO  Y NOS INSPIRA A INVESTIGAR PARA APOYAR LO VISTO";"LA IMPUNTUALIDAD , NADA MAS";1;1715;39;3;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
1033;52;6;14;4;3;2;4;4;4;4;3;3;3;3;3;2;3;3;4;4;4;4;4;4;1;1;3;2;"LA ASIGNATURA EN ESENCIAL ES  MUY INTERESANTE Y LA PROFESORA EN TERMINOS GENERALES ES BUENA";"NO TODOS APRENDEMOS  A LA VELOCIDAD QUE ELLA QUIERE , ESTOY CONSCIENTE QUE LA MATERIA ES BASTANTE DENSA PERO CIERTO QUE HAY TEMAS QUE SENCILLAMENTE NO DEBERIAN TOCARSE EN UNA MATERIA DE TAXONOMIA";1;1723;39;4;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
1034;53;6;14;4;4;4;4;4;4;4;3;3;3;3;4;2;2;3;3;2;3;3;3;3;1;1;4;3;"TIENE FORTALEZAS EN LA MATERIA ACCESIBLE A RESPONDER PREGUNTAS";"ALGUNA VECES NO SE EXPLICA BIEN";1;1723;39;4;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
1282;54;53;34;3;3;4;3;2;4;3;3;3;3;3;4;4;4;4;3;3;4;3;3;3;2;1;3;3;"NOS ENSEÑA LA PARTE PRACTICA DE LAS COSAS";"MEJOR EVALUACION";0;74;5;8;1;0;244;1;0;1;"PLANTA";"1/2/2006 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
1283;55;53;34;4;2;3;3;3;3;3;3;4;3;2;4;3;3;4;3;3;4;2;1;3;2;1;1;2;"";"";0;75;5;8;1;0;244;1;0;1;"PLANTA";"1/2/2006 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
1284;56;53;34;3;3;4;4;3;3;3;4;4;4;2;3;4;4;4;4;1;1;1;2;4;2;1;3;3;"";"";1;1123;5;8;1;0;244;1;0;1;"PLANTA";"1/2/2006 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
1285;57;53;34;4;1;4;3;2;4;1;4;4;3;2;4;4;3;3;3;2;3;2;3;4;2;2;1;2;"";"NO EXISTIO UN ACOMPAÑAMIENTO POR PARTE DEL DOCENTE EN LA SALIDA DE CAMPO, AFERRANDOSE UNICAMENTE AL PROTOCOLO DE LA GUIA";1;1124;5;8;1;0;244;1;0;1;"PLANTA";"1/2/2006 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
