"Student";"Subject";"Y_sub";"SelfPerf_su";"Item"
1312;90;3;4;1
1313;90;4;5;1
1314;90;4;4;1
1315;90;3;4;1
1316;90;4;5;1
1317;90;3;4;1
1318;90;3;4;1
1319;90;3;4;1
1320;90;4;4;1
1321;90;3;5;1
1322;90;3;4;1
1323;90;2;5;1
1324;91;3;4;1
1325;91;3;4;1
1326;91;4;3;1
1327;91;3;3;1
1328;91;3;4;1
1329;91;4;4;1
1330;91;4;4;1
1331;91;4;4;1
1332;92;2;3;1
1333;92;4;4;1
1334;92;3;3;1
1335;92;3;4;1
1336;92;2;3;1
1337;92;2;3;1
1338;92;1;4;1
1339;92;3;4;1
1340;92;4;4;1
1341;92;4;3;1
1342;92;3;4;1
1343;92;2;3;1
1344;92;3;3;1
1345;92;4;4;1
1346;92;4;4;1
1347;92;3;5;1
1348;92;3;3;1
1349;93;4;4;1
1350;93;4;4;1
